ml,ppL,perf_val
Y3Ga5O12,EQE,2.5
Y3Ga5O12,threshold voltage,25
Y3Ga5O12,power efficiency ×10⁻⁴,3.8
Y3Ga5O12,annealing temperature in °c,800
Y3Ga5O12,emission lifetime in milliseconds,2.26
Y3Ga5O12,operational device lifetime in hours,49
Gd3Ga5O12,EQE,1.9
Gd3Ga5O12,threshold voltage,30
Gd3Ga5O12,power efficiency ×10⁻⁴,3.6
Gd3Ga5O12,annealing temperature in °c,1000
Gd3Ga5O12,emission lifetime in milliseconds,1.59
ZnGa2O4,EQE,0.3
ZnGa2O4,threshold voltage,30
Lu3Al5O12,EQE,10
Lu3Al5O12,threshold voltage,50
Yb3Al5O12,EQE,5.2
Yb3Al5O12,threshold voltage,~5
Yb3Al5O12,power efficiency ×10⁻⁴,4.8
Ga2O3,EQE,36
Ga2O3,threshold voltage,~15
Ga2O3,power efficiency ×10⁻⁴,81
Al2O3-Y2O3,EQE,8.7
Al2O3-Y2O3,power efficiency ×10⁻⁴,12
Al2O3:Yb,EQE,24
Al2O3:Yb,power efficiency ×10⁻⁴,28
Al2O3:Yb,threshold voltage,~14
