ml,ppL,perf_val
Y3Ga5O12,EQE,2.5
Y3Ga5O12,Vol,25
Y3Ga5O12,PE,3.8
Y3Ga5O12,Ann. T,800
Y3Ga5O12,tau,2.26
Y3Ga5O12,OLT,49
Gd3Ga5O12,EQE,1.9
Gd3Ga5O12,Vol,30
Gd3Ga5O12,PE,3.6
Gd3Ga5O12,Ann. T,1000
Gd3Ga5O12,tau,1.59
Gd3Ga5O12,OLT,NG
ZnGa2O4,EQE,0.3
ZnGa2O4,Vol,30
ZnGa2O4,PE,NG
ZnGa2O4,Ann. T,800
ZnGa2O4,tau,0.82
ZnGa2O4,OLT,5.5
Lu3Al5O12,EQE,10
Lu3Al5O12,Vol,50
Lu3Al5O12,PE,12
Lu3Al5O12,Ann. T,1100
Lu3Al5O12,tau,1.65
Lu3Al5O12,OLT,NG
Yb2O3,EQE,8.5
Yb2O3,Vol,60
Yb2O3,PE,10
Yb2O3,Ann. T,1000
Yb2O3,tau,NG
Yb2O3,OLT,NG
Yb3Al5O12,EQE,5.2
Yb3Al5O12,Vol,≈5
Yb3Al5O12,PE,4.8
Yb3Al5O12,Ann. T,1100
Yb3Al5O12,tau,1.2
Yb3Al5O12,OLT,NG
Ga2O3,EQE,36
Ga2O3,Vol,≈15
Ga2O3,PE,81
Ga2O3,Ann. T,900
Ga2O3,tau,2.04
Ga2O3,OLT,100
